date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,whale_transfers_24h,large_buys,large_sells,net_whale_flow_usd,top_10_holders_pct,holder_concentration
2025-10-02,COUNT,Counting live till $100M,H2zbT5whzb2ZpM1fQ8gqhTQ5V3ytywSYMdto9Dcy5r3e,4.214e-06,3.86,8411.92,4214.0,dexscreener,ok,0,,,,,,
2025-10-03,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,229.55,319839257.62,56782453.16,0.0,dexscreener,ok,0,,,,,,
2025-10-03,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001741,730915.78,238700.14,1353533.0,dexscreener,ok,0,,,,,,
2025-10-03,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.001313,124315.32,186049.81,1312898.0,dexscreener,ok,0,,,,,,
2025-10-03,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01624,96869.1,2168881.31,81213099.0,dexscreener,ok,0,,,,,,
2025-10-03,AI4,AI⁴,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.0003803,93795.47,121099.95,380297.0,dexscreener,ok,0,,,,,,
2025-10-03,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,0.0001483,89989.32,48590.7,148391.0,dexscreener,ok,0,,,,,,
2025-10-03,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.0005984,21218.25,99546.81,427350.0,dexscreener,ok,0,,,,,,
2025-10-03,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,6.126e-05,19049.49,32249.4,61269.0,dexscreener,ok,0,,,,,,
2025-10-03,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.00208,15526.44,208893.75,2080100.0,dexscreener,ok,0,,,,,,
2025-10-03,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,7.962e-05,9516.66,37321.95,79618.0,dexscreener,ok,0,,,,,,
2025-10-03,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.004198,9412.73,609423.68,4198488.0,dexscreener,ok,0,,,,,,
2025-10-03,19,Cult of 19,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,5.98e-06,9031.9,9886.49,5971.0,dexscreener,ok,0,,,,,,
2025-10-03,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1142.24,7876.07,19028.72,18447161.0,dexscreener,ok,0,,,,,,
2025-10-03,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,1.788e-05,3269.5,17828.82,17791.0,dexscreener,ok,0,,,,,,
2025-10-03,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,1.898e-05,2825.26,19480.68,18987.0,dexscreener,ok,0,,,,,,
2025-10-03,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,5.649e-06,2030.03,8298.68,5649.0,dexscreener,ok,0,,,,,,
2025-10-03,DARE,DareCoin,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,9.698e-06,1762.65,14354.95,9602.0,dexscreener,ok,0,,,,,,
2025-10-03,AUSBAGWORK,AUSSIE BAG WORKERS,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,1.845e-05,1669.42,21044.15,18448.0,dexscreener,ok,0,,,,,,
2025-10-03,$CrepSol,Crepe on Solana,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,2.995e-05,1083.37,22086.03,29950.0,dexscreener,ok,0,,,,,,
